label,text
spam,¿Eres lo suficientemente único? Infórmate a partir del 30 de agosto. www.areyouunique.co.uk
ham,Lo lamento. Me uní a la liga de personas que no se mantienen en contacto. Significas mucho para mí. Has sido un amigo en todo momento incluso a un gran costo personal. Que tengas una gran semana.|
ham,Hola :)finalmente completé el curso :)
ham,"Se detendrá sobre sí mismo. Sin embargo, le sugiero que se quede con alguien que pueda darle oro por cada taburete."
ham,¿Cómo estás? Espero que te hayas adaptado al nuevo año escolar. Sólo te deseo un gran día
ham,"Dios mío, querido, que tengas un buen día."
ham,¿Tienes la historia de esa persona?
ham,"¿Tu hámster está muerto? Oye, ¿te veo a la 1:00 p.m. en Orchard MRT?"
ham,"Hola, soy Kate, ¿cómo está tu noche? Espero poder verte mañana un rato, ¡pero tengo que hacerlo, maldito babyjontet! Envía un mensaje de texto si puedes. :) xxx"
ham,"Lo encontré, ¿Dónde estás?"
